,,,,,Target variables,,,,,,,
,,,,Date,quanterly revenue,EBITDA- quarterly,ROIC Quanterly,ROIC LTM,,,,
,,,,9/30/2025,15376,5942,0.033844,0.063835,,,,
,,,,6/30/2025,14319,5681,0.044328,0.068652,,Date,PMI,CPI
,,,,3/31/2025,16909,7275,0.082648,0.07429,,45961,48.7,
,,,,12/31/2024,14676,6524,0.071192,0.070402,,45930,49.1,3
Date,Oil Price,Copper-Price Per Pound,,9/30/2024,13482,5663,0.067448,0.085767,,45900,48.7,2.9
45961,60.98,5.089,,6/30/2024,14023,6125,0.083272,0.092388,,45869,48,2.7
45930,61.96,4.8565,,3/31/2024,14269,5996,0.095244,0.084309,,45838,49,2.7
45898,64.01,4.5185,,12/31/2023,15150,6662,0.094252,0.080146,,45808,48.5,2.4
45869,69.26,4.3545,,9/30/2023,14638,6236,0.089368,0.069763,,45777,48.7,2.3
45838,65.11,5.0825,,6/30/2023,12763,5393,0.054976,0.094793,,45747,49,2.4
45807,60.79,4.6775,,3/31/2023,15310,6462,0.088424,0.143444,,45716,50.3,2.8
45777,58.21,4.609,,12/31/2022,19128,7391,0.052364,0.197472,,45688,49.1,3
45747,71.48,5.034,,9/30/2022,21574,9383,0.182744,0.217419,,45657,49.2,2.9
45716,69.76,4.548,,6/30/2022,21685,9405,0.246088,0.195802,,45626,48.4,2.7
45688,72.53,4.279,,3/31/2022,18188,8737,0.2923,0.155872,,45596,46.9,2.6
45657,71.72,4.0265,,12/31/2021,15452,6840,0.124384,0.102133,,45565,47.5,2.4
45625,68,4.0805,,9/30/2021,11565,5331,0.112436,0.044855,,45535,47.5,2.5
45596,69.26,4.34,,6/30/2021,9695,4661,0.09464,-0.004296,,45504,47,2.9
45565,68.17,4.553,,3/31/2021,9948,3264,0.028868,-0.035438,,45473,48.3,3
45534,73.55,4.167,,12/31/2020,5577,1330,-0.107276,-0.093559,,45443,48.5,3.3
45504,77.91,4.1765,,9/30/2020,4421,1136,-0.078044,-0.062573,,45412,48.8,3.4
45471,81.54,4.3915,,6/30/2020,2826,199,-0.0168,0.012142,,45382,49.8,3.5
45443,76.99,4.602,,3/31/2020,6392,2096,-0.180752,0.042182,,45351,47.6,3.2
45412,81.93,4.5645,,12/31/2019,7836,3117,0.020188,0.116209,,45322,49.1,3.1
45379,83.17,4.007,,9/30/2019,8046,3349,0.217188,0.141697,,45291,47.1,3.4
45351,78.26,3.847,,6/30/2019,8126,3544,0.1008,0.120919,,45260,46.6,3.1
45322,75.85,3.906,,3/31/2019,9338,3769,0.123676,0.12057,,45230,46.9,3.2
45289,71.65,3.8905,,12/31/2018,9973,3879,0.1287,0.100352,,45199,48.6,3.7
45260,75.96,3.829,,9/30/2018,9743,4257,0.130968,0.093934,,45169,47.6,3.7
45230,81.02,3.649,,6/30/2018,8769,3721,0.11094,0.064075,,45138,46.5,3.2
45198,90.79,3.7375,,3/31/2018,9006,3678,0.044772,-0.03397,,45107,46.4,3
45169,83.63,3.7725,,12/31/2017,8317,3039,0.098608,-0.038228,,45077,46.6,4
45138,81.8,4.008,,9/30/2017,6884,2272,0.007264,-0.064486,,45046,47,4.9
45107,70.64,3.7595,,6/30/2017,6959,2195,-0.26006,-0.086623,,45016,47.8,5
45077,68.09,3.637,,3/31/2017,7718,2500,0.01638,-0.043255,,44985,47.7,6
45044,76.78,3.8905,,12/31/2016,6990,1941,-0.021808,-0.076382,,44957,47.4,6.4
45016,75.67,4.0945,,9/30/2016,6355,1106,-0.082276,-0.132148,,44926,46.7,6.5
44985,77.05,4.0895,,6/30/2016,5428,1109,-0.081788,-0.135781,,44895,49,7.1
44957,78.87,4.226,,3/31/2016,4972,594,-0.106524,-0.131584,,44865,49,7.7
44925,80.26,3.8105,,12/31/2015,6262,915,-0.26028,-0.115765,,44834,50.9,8.2
44895,80.55,3.7295,,9/30/2015,7485,1077,-0.111232,-0.063775,,44804,52.8,8.3
44865,86.53,3.375,,6/30/2015,8551,2656,-0.059856,-0.011603,,44773,52.8,8.5
44834,78.72,3.4125,,3/31/2015,7921,1935,-0.034872,0.019652,,44742,53,9.1
44804,89.55,3.5185,,12/31/2014,11689,2757,-0.049892,0.044888,,44712,56.1,8.6
44771,98.62,3.5735,,9/30/2014,12913,5073,0.093488,0.077408,,44681,55.4,8.3
44742,105.76,3.71,,6/30/2014,14694,5891,0.06458,0.076339,,44651,57.1,8.5
44712,114.67,4.296,,3/31/2014,16039,5817,0.068088,0.077329,,44620,58.6,7.9
44680,104.69,4.4085,,12/31/2013,13702,4933,0.086932,0.078735,,44592,57.6,7.5
44651,100.28,4.751,,9/30/2013,14401,5431,0.086788,0.064507,,44561,58.7,7
44620,95.72,4.4545,,6/30/2013,14047,5671,0.06674,0.056594,,44530,61.1,6.8
44592,88.15,4.3245,,3/31/2013,14593,5664,0.071548,0.050391,,44500,60.8,6.2
44561,75.21,4.4635,,12/31/2012,15881,5581,0.033692,0.061891,,44469,61.1,5.4
44530,66.18,4.278,,9/30/2012,14595,5354,0.054184,0.084591,,44439,59.9,5.3
44498,83.57,4.368,,6/30/2012,14259,5325,0.067028,0.090523,,44408,59.5,5.4
44469,75.03,4.089,,3/31/2012,15143,5817,0.087148,0.088982,,44377,60.6,5.4
44439,68.5,4.36,,12/31/2011,14921,4574,0.107964,0.09248,,44347,61.2,5
44407,73.95,4.4825,,9/30/2011,16955,5830,0.071348,0.078136,,44316,60.7,4.2
44377,73.47,4.289,,6/30/2011,17633,6404,0.138144,0.082139,,44286,64.7,2.6
44344,66.32,4.6775,,3/31/2011,16190,6503,0.08494,0.090726,,44255,60.8,1.7
44316,63.58,4.468,,12/31/2010,48577,5820,0.050588,0.084081,,44227,58.7,1.4
44286,59.16,3.9955,,9/30/2010,44607,6531,0.091264,0.075949,,44196,60.7,1.4
44253,61.5,4.0925,,6/30/2010,43461,7204,0.137016,0.062065,,44165,57.5,1.2
44225,52.2,3.556,,3/31/2010,42518,6866,0.055592,0.030762,,44135,59.3,1.2
44196,48.52,3.519,,12/31/2009,40124,5950,0.02224,0.016981,,44104,55.4,1.4
44165,45.34,3.4205,,,,,,,,44074,56,1.3
44134,35.79,3.0435,,,,,,,,44043,54.2,1
44104,40.22,3.0285,,,,,,,,44012,52.6,0.6
44074,42.61,3.048,,,,,,,,43982,43.1,0.1
44043,40.27,2.859,,,,,,,,43951,41.5,0.3
44012,39.34,2.72,,,,,,,,43921,49.1,1.5
43980,36.2,2.4265,,,,,,,,43890,50.1,2.3
43951,21.85,2.3455,,,,,,,,43861,50.9,2.5
43921,20.48,2.24,,,,,,,,43830,47.8,2.3
43889,44.76,2.5435,,,,,,,,43799,48.1,2.1
43861,51.56,2.52,,,,,,,,43769,48.3,1.8
43830,61.06,2.803,,,,,,,,43738,47.8,1.7
43798,55.17,2.666,,,,,,,,43708,49.1,1.7
43769,54.18,2.6505,,,,,,,,43677,51.2,1.8
43738,54.07,2.594,,,,,,,,43646,51.7,1.6
43707,55.1,2.566,,,,,,,,43616,52.1,1.8
43677,58.58,2.6925,,,,,,,,43585,52.8,2
43644,58.47,2.731,,,,,,,,43555,55.3,1.9
43616,53.5,2.653,,,,,,,,43524,54.2,1.5
43585,63.91,2.9405,,,,,,,,43496,56.6,1.6
43553,60.14,2.9565,,,,,,,,43465,54.1,1.9
43524,57.22,2.9675,,,,,,,,43434,59.3,2.2
43496,53.79,2.822,,,,,,,,43404,57.7,2.5
43465,45.41,2.656,,,,,,,,43373,59.8,2.3
43434,50.93,2.805,,,,,,,,43343,61.3,2.7
43404,65.31,2.7305,,,,,,,,43312,58.1,2.9
43371,73.25,2.867,,,,,,,,43281,60.2,2.9
43343,69.8,2.761,,,,,,,,43251,58.7,2.8
43312,68.76,2.942,,,,,,,,43220,57.3,2.5
43280,74.15,3.063,,,,,,,,43190,59.3,2.4
43251,67.04,3.1915,,,,,,,,43159,60.8,2.2
43220,68.57,3.197,,,,,,,,43131,59.1,2.1
43188,64.94,3.146,,,,,,,,43100,59.7,2.1
43159,61.64,3.2415,,,,,,,,43069,58.2,2.2
43131,64.73,3.3005,,,,,,,,43039,58.7,2
43098,60.42,3.3745,,,,,,,,43008,60.8,2.2
43069,57.4,3.122,,,,,,,,42978,58.8,1.9
43039,54.38,3.172,,,,,,,,42947,56.3,1.7
43007,51.67,3.0135,,,,,,,,42916,57.8,1.6
42978,47.23,3.146,,,,,,,,42886,54.9,1.9
42947,50.17,2.9615,,,,,,,,42855,54.8,2.2
42916,46.04,2.756,,,,,,,,42825,57.2,2.4
42886,48.32,2.6445,,,,,,,,42794,57.7,2.7
42853,49.33,2.668,,,,,,,,42766,56,2.5
42825,50.6,2.7295,,,,,,,,42735,54.5,2.1
42794,54.01,2.766,,,,,,,,42704,53.2,1.7
42766,52.81,2.7655,,,,,,,,42674,51.9,1.6
42734,53.72,2.521,,,,,,,,42643,51.5,1.5
42704,49.44,2.635,,,,,,,,42613,49.4,1.1
42674,46.86,2.2285,,,,,,,,42582,52.6,0.8
42643,48.24,2.235,,,,,,,,42551,53.2,1
42613,44.7,2.0905,,,,,,,,42521,51.3,1
42580,41.6,2.2435,,,,,,,,42490,50.8,1.1
42551,48.33,2.2205,,,,,,,,42460,51.8,0.9
42521,49.1,2.1185,,,,,,,,42429,49.5,1
42489,45.92,2.2985,,,,,,,,42400,48.2,1.4
42460,38.34,2.208,,,,,,,,42369,48.2,0.7
42429,33.75,2.147,,,,,,,,42338,48.6,0.5
42398,33.62,2.086,,,,,,,,42308,50.1,0.2
42369,37.04,2.163,,,,,,,,42277,50.2,0
42338,41.65,2.083,,,,,,,,42247,51.1,0.2
42307,46.59,2.3355,,,,,,,,42216,52.7,0.2
42277,45.09,2.3545,,,,,,,,42185,53.5,0.1
42247,49.2,2.3665,,,,,,,,42155,52.8,0
42216,47.12,2.425,,,,,,,,42124,51.5,-0.2
42185,59.47,2.533,,,,,,,,42094,51.5,-0.1
42153,60.3,2.642,,,,,,,,42063,52.9,0
42124,59.63,2.8955,,,,,,,,42035,53.5,-0.1
42094,47.6,2.7435,,,,,,,,42004,55.1,0.8
42062,49.76,2.6895,,,,,,,,41973,58.7,1.3
42034,48.24,2.4925,,,,,,,,41943,59,1.7
42004,53.27,2.832,,,,,,,,41912,56.6,1.7
41971,66.15,2.8565,,,,,,,,41882,59,1.7
41943,80.54,3.035,,,,,,,,41851,57.1,2
41912,91.16,3.0175,,,,,,,,41820,55.3,2.1
41880,95.96,3.1755,,,,,,,,41790,55.4,2.1
41851,98.17,3.228,,,,,,,,41759,54.9,2
41820,105.37,3.2025,,,,,,,,41729,53.7,1.5
41789,102.71,3.1,,,,,,,,41698,53.2,1.1
41759,99.74,3.0245,,,,,,,,41670,51.3,1.6
41729,101.58,3.0505,,,,,,,,41639,56.5,1.5
41698,102.59,3.172,,,,,,,,41608,57.3,1.2
41670,97.49,3.1895,,,,,,,,41578,56.4,1
41639,98.42,3.348,,,,,,,,41547,56.2,1.2
41607,92.72,3.2255,,,,,,,,41517,55.7,1.5
41578,96.38,3.3395,,,,,,,,41486,55.4,2
41547,102.33,3.3805,,,,,,,,41455,50.9,1.8
41516,107.65,3.2955,,,,,,,,41425,49,1.4
41486,105.03,3.0985,,,,,,,,41394,50.7,1.1
41453,96.56,3.1385,,,,,,,,41364,51.3,1.5
41425,91.97,3.381,,,,,,,,41333,54.2,2
41394,93.46,3.278,,,,,,,,41305,53.1,1.6
41361,97.23,3.402,,,,,,,,41274,50.2,1.7
41333,92.05,3.5475,,,,,,,,41243,49.5,1.8
41305,97.49,3.732,,,,,,,,41213,51.7,2.2
41274,91.82,3.6525,,,,,,,,41182,51.5,2
41243,88.91,3.6295,,,,,,,,41152,49.6,1.7
41213,86.24,3.5175,,,,,,,,41121,49.8,1.4
41180,92.19,3.758,,,,,,,,41090,49.7,1.7
41152,96.47,3.454,,,,,,,,41060,53.5,1.7
41121,88.06,3.4175,,,,,,,,41029,54.8,2.3
41089,84.96,3.4965,,,,,,,,40999,53.4,2.7
41060,86.53,3.3735,,,,,,,,40968,52.4,2.9
41029,104.87,3.8255,,,,,,,,40939,54.1,2.9
40998,103.02,3.8425,,,,,,,,40908,53.1,3
40968,107.07,3.8985,,,,,,,,40877,52.2,3.4
40939,98.48,3.8185,,,,,,,,40847,51.8,3.5
40907,98.83,3.46,,,,,,,,40816,52.5,3.9
40877,100.36,3.596,,,,,,,,40786,52.5,3.8
40847,93.08,3.669,,,,,,,,40755,51.4,3.6
40816,79.46,3.2015,,,,,,,,40724,55.8,3.6
40786,89.88,4.23,,,,,,,,40694,54.2,3.6
40753,97.52,4.497,,,,,,,,40663,59.7,3.2
40724,97.96,4.2895,,,,,,,,40633,59.7,2.7
40694,104.71,4.217,,,,,,,,40602,59.8,2.1
40662,114.58,4.2005,,,,,,,,40574,59.9,1.6
40633,108.18,4.3315,,,,,,,,40543,57.3,1.5
40602,101.57,4.4665,,,,,,,,40512,58,1.1
40574,99.56,4.336,,,,,,,,40482,57,1.2
40543,94.43,4.246,,,,,,,,40451,56.4,1.1
40512,87.05,3.6745,,,,,,,,40421,57.4,1.1
,,,,,,,,,,40390,55.7,1.2
,,,,,,,,,,40359,56,1.1
,,,,,,,,,,40329,58.8,2
,,,,,,,,,,40298,59,2.2
,,,,,,,,,,40268,59.3,2.3
,,,,,,,,,,40237,55.8,2.1
,,,,,,,,,,40209,56.7,2.6
